source_name,source_link,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,latitude,longitude,country_name,admin_division_name,gazetteer_closest_point,submitted_date
Kashmir Observer,http://www.kashmirobserver.net/index.php?option=com_content&view=article&id=4458:ladakh-highway-closed-for-traffic&catid=2:local-news&Itemid=3,2010-04-20 00:00:00,"India Gate(?), Srinagar-Leh highway, Kashmir","Sources said several landslides also occurred at different places including Kanipathri and India gate on the highway due to rainfall in the lower regions.  The Srinagar-Leh national highway was closed to traffic today as high altitude areas of Kashmir valley experienced fresh snowfall for the third day.  The 434 km Srinagar-Leh Highway, the only road linking frontier region of Ladakh with rest of Jammu and Kashmir, was closed this morning after heavy snowfall at the 11,578 feet high Zojila pass, official sources said.","India Gate(?), Srinagar-Leh highway, Kashmir",unknown,landslide,downpour,medium,above_road,0.0,,34.38667467,76.34149163999999,India,Jammu and Kashmir,Goma,2014-04-01 00:00:00
alertnet,http://www.alertnet.org/thenews/fromthefield/222031/128136284695.htm,2010-08-06 00:30:00,"villages Shapoo(?), Bazgo(?) and wide area around Leh, Ladakh, Jammu and Kashmir","On the night of 5th and 6th August 2010, between 00:00 hrs and 00:30 hrs, intensive rainfall followed by massive cloudburst in high altitude terrain of Leh (3505m), triggered numerous debris flows, mud flows (earth spreads) and sand flows. These widespread, composite flows in the over saturated slope forming materials caused 182 deaths including that of 3 foreign tourists, damaged 607 houses, breached all major communication networks to Leh town besides inflicting an unaccountable loss of livestock and agriculture fields. The disaster caused severe damage to the settlements in parts of Leh town, Sabu village, Choklamsar, Leh airport area, Nimu, Ney and Bazgo area around the town. Widespread occurrence of varied, unconsolidated Quaternary drift deposits perched over gentle to fairly steep slopes are susceptible to mass movement under conditions of heavy saturation.   Unprecedented rainfall of the order of 240 mm within 24 hours on account of cloud bursts in the Leh region during 4-6 Aug","villages Shapoo(?), Bazgo(?) and wide area around Leh, Ladakh, Jammu and Kashmir",50km,landslide,downpour,very_large,unknown,234.0,,34.1416,77.4871,India,Jammu and Kashmir,Leh,2014-09-11 17:42:30
onmanora,http://english.manoramaonline.com/news/just-in/cloudburst-strikes-jk-15-killed-as-unabated-rains-lash-north.html,2015-07-11 00:00:00,"Srinigar-Jammu Highway, Gangroo, Udhampur",Landslide at several places along highway; unspecific; highway closed,"Srinigar-Jammu Highway, Gangroo, Udhampur",5km,landslide,continuous_rain,medium,above_road,0.0,0.0,32.9262,75.1447,India,Jammu and Kashmir,Udhampur,2015-07-13 14:02:04
ekantipur.com,http://ekantipur.com/2013/07/23/top-story/floods-landslides-bring-misery-8-dead-13-missing/375202.html,2013-07-22 00:00:00,"Chinnebas, Syangja District","In Syangja district, landslides killed three personsÑthree-month-old Mina BK, Rita Bhattarai and Dil Bahadur SarkiÑin Sekham, Kuwakot and Chinnebas. A landslide in Chinnebas destroyed a school building and a suspension bridge.","Chinnebas, Syangja District",5km,landslide,downpour,large,unknown,1.0,,27.9687,83.90659999999998,Nepal,Gandaki,Bahakot,2014-04-01 00:00:00
indiavision,http://www.indiavision.com/news/article/national/67832/1/print/,2010-06-16 00:00:00,Tripi (Tirpai?) road of Upper Gumfa area in Kalimpong,"Siliguri, (IANS) At least three people were killed Thursday when a landslide destroyed a house in West Bengal's Darjeeling district, police said. The incident occurred on the Tripi road of Upper Gumfa area in Kalimpong. The dead were identified as Surekha Bhutia (48) and her two children, Debita Bhutia (21) and Sanjong Bhutia (18). Two others in the house were seriously injured, said police officer Puran Subba.",Tripi (Tirpai?) road of Upper Gumfa area in Kalimpong,10km,landslide,rain,medium,unknown,3.0,,27.0765,88.4808,India,West Bengal,Kalimpong,2014-04-01 00:00:00
himachal.us,http://himachal.us/2010/09/22/heavy-rains-damage-roads-in-himachal-alert-sounded-in-kinnaur/22231/news/ravinder,2010-09-19 00:00:00,"Kumarhatti-Nahan road, Himachal Pradesh","(posted 9/22 but may cover events from past weeks)A police spokesman said that traffic on the Shimla- Kalka highway was disrupted near Solan. The beaten track of the Theog-Kotkhai-Jubbal road was blocked at several places because of landslides or traffic jams and the Chopal road was also blocked by landslides – disrupting marketing operations of apples.  Elsewhere, the Karsog-Mandi road, Karsog-Rampur road, Kasauli-Parwanoo road, Kumarhatti-Nahan road, Pulbhal-Solan road, Rajgarh-Habban road and several others blocked.","Kumarhatti-Nahan road, Himachal Pradesh",25km,landslide,downpour,medium,unknown,0.0,,30.7198,77.1695,India,Himachal Pradesh,Nahan,2014-04-01 00:00:00
kantipuronline,http://www.kantipuronline.com/kolnews.php?&nid=154099,2008-07-18 00:00:00,Katunje VDC in Dhading district ,At least five people died after being buried in a landslide at Katunje VDC in Dhading district on Friday evening. ,Katunje VDC in Dhading district ,10km,landslide,monsoon,medium,unknown,8.0,,28.9,80.87,Nepal,Seti,Tolisain,2014-04-01 00:00:00
Samaya,http://odishasamaya.com/news/mudslide-killed-3-people-jk,2015-03-15 00:00:00,Poonch district,"“A 42-year-old man was killed after he was buried under a mudslide in Poonch district. Efforts to save him proved futile. The body was, however, recovered and handed over to relatives.”",Poonch district,25km,mudslide,rain,medium,unknown,1.0,0.0,33.7732,74.1011,India,Jammu and Kashmir,Punch,2015-03-27 21:00:41
articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-07-08/india/40442321_1_landslides-heavy-rainfall-isolated-places,2013-07-07 00:00:00,"Mandi-Janjheli Road At Odidhar Thunag, Himachal Pradesh","Heavy rainfall continued to lash several parts of Himachal Pradesh on Sunday, causing rise in water level in rivers, besides triggering landslides at some places. In Mandi town flooding of a nullah near the government hospital choked the hospital premises and the market with mud and garbage and also buried parked vehicles. According to Shimla meteorological centre, heavy to very heavy rainfall would occur at isolated places in Sirmaur, Solan, Bilaspur, Hamirpur, Una, and parts of Shimla, Mandi and Kangra districts during next 48 hours. Landslides in different parts of Mandi also left national highways leading to Kullu, Pathankot and Shimla blocked for a while. The Mandi-Pathankot highway was blocked after landslides at Paddar on Sunday morning around 3 am and traffic was restored only around 10 am. While landslide near Mandi gurdwara left Manali highway blocked for around 30 minutes, the Mandi-Pathankot highway remained closed for three hours on Saturday after heavy rains caused landsl","Mandi-Janjheli Road At Odidhar Thunag, Himachal Pradesh",5km,landslide,downpour,medium,unknown,,,31.5596,77.1679,India,Himachal Pradesh,Pandoh,2014-04-01 00:00:00
The Times of India,http://timesofindia.indiatimes.com/city/kolkata/Landslides-claim-1-life-block-Hills-road-in-Darjeeling/articleshow/47858393.cms,2015-06-27 23:00:00,"Old Monastery Road, Ghum",The body of Phupu Doma Bhutia (45) was recovered by her relatives in her shanty in Ghoom on Sunday morning. It is suspected that a loose boulder tumbled down on the hut where Phupu lived.,"Old Monastery Road, Ghum",1km,landslide,downpour,medium,unknown,1.0,0.0,27.0076,88.251,India,West Bengal,Darjeeling,2015-06-30 15:43:47
washingtonpost,http://www.washingtonpost.com/world/asia-pacific/landslides-triggered-by-monsoon-rains-strike-2-villages-in-nepal-leaving-6-dead-10-missing/2011/07/15/gIQAsjcOFI_story.html,2011-07-15 00:00:00,"Purtingkada village (320 kilometers west of the capital, Katmandu)","KATMANDU, Nepal — Landslides triggered by monsoon rains buried parts of two remote mountainous villages in Nepal on Friday, killing six people, with 10 others believed to be buried in the debris.  A landslide buried 10 houses in Purtingkada village, located about 200 miles (320 kilometers) west of the capital, Katmandu, said Krishna Prasad Adhikari, the chief government administrator of Rukum district. Villagers recovered three bodies and dug out five people alive, he said. They were searching for 10 others who were missing and believed to be buried in the rubble. Police rescuers were heading to the village, which is accessible only by foot and is a six-hour trek from the nearest town.  Separately, three people were killed and five others were injured in a landslide in Nuwakot Thanksingh village, located 50 miles (80 kilometers) north of Katmandu. Police official Anup Rayamajhi said one house was completely buried and several others were damaged.  Nepal’s monsoon season began last mont","Purtingkada village (320 kilometers west of the capital, Katmandu)",unknown,landslide,downpour,large,unknown,6.0,,28.7956,82.23139999999998,Nepal,Bheri,Dumjala,2014-04-01 00:00:00
eKantipur,http://www.ekantipur.com/2014/08/16/national/landslide-victims-in-peril-for-no-timely-rescue/393670.html,2014-08-13 00:00:00,Ramidanda,The situation of the victims of rain-triggered landslide occurred in Jajarkot on Wednesday has become more alarming in absence of timely rescue operations.,Ramidanda,5km,landslide,rain,medium,unknown,2.0,6.0,28.9446,82.24939999999998,Nepal,Bheri,Dumjala,2014-12-16 17:09:36
Nyoooz,https://www.nyoooz.com/news/dehradun/776445/landslides-in-garhwal-leave-travellers-stranded-for-hours/,2017-04-06 00:00:00,Landslide on NH-34 at Dharashu,Night of heavy rains and snowfall triggers landslide that blocks road at Dharashu,"Dharashu, Uttarkashi, Uttarakhand, India",1km,landslide,downpour,small,above_road,0.0,0.0,30.61461423,78.3157525,India,Uttaranchal,Chham,2017-08-04 13:19:34
ABC,http://www.abc.net.au/news/2014-08-16/an-floods2c-landslide-leave-17-dead-in-northern-india/5675282,2014-08-15 00:00:00,Pauri district of Uttarakhand,"Fourteen people were killed when their houses were buried by a tide of mud and trees, emergency official Piyush Rautela told AFP.",Pauri district of Uttarakhand,unknown,debris_flow,rain,medium,unknown,14.0,0.0,30.1176,78.7472,India,Uttaranchal,Alaknanda,2014-12-15 22:24:37
